date,grade,confidence,color,aroma,age,quantity_kg,quantity_multiplier,market_price,rainfall_mm,rainfall_impact,season,exchange_rate,actual_price
05/03/2024,BOPF,0.86,1,1,1,359,1.063,1274.28,160.3,1,Normal,300.47,1317.1
05/03/2024,Pekoe,0.94,0,1,0.5,710,1.029,1172.66,148.6,1,Normal,299.14,994.47
05/03/2024,Dust,0.97,0.5,0,1,4168,0.973,1041.09,155.7,1,Normal,299.53,846.64
05/03/2024,Fanning1,0.84,1,0.5,0.5,383,1.044,1122.7,161.3,1,Normal,298.64,1015.76
05/03/2024,BOP,0.97,1,0.5,0.5,1109,0.985,1149.3,161.6,1,Normal,299.5,989.68
06/03/2024,Pekoe,0.87,1,1,0.5,4554,0.963,1102.66,161.8,1,Normal,301.62,956.89
06/03/2024,Pekoe,0.92,0.5,0.5,1,6719,0.923,1102.66,148,1,Normal,301.35,882.53
10/03/2024,Fanning1,0.86,1,0.5,0,280,1.056,1072.7,157.6,1,Normal,298.27,934.4
10/03/2024,Fanning1,0.82,0,1,0.5,291,1.047,1112.7,164.8,1,Normal,300.63,962.04
10/03/2024,BOPF,0.83,0.5,0,1,850,1.024,1184.28,160.1,1,Normal,300.86,990.44
10/03/2024,BOPF,0.96,0.5,0.5,0.5,742,1.009,1274.28,149,1,Normal,301.12,1056.87
12/03/2024,Dust,0.89,0.5,0.5,0.5,4016,0.961,1041.09,147.5,1,Normal,300.08,831.13
13/03/2024,Fanning1,0.98,1,1,1,3605,0.968,1092.7,146.6,1,Normal,298.67,1003.08
13/03/2024,Dust,0.92,0.5,0.5,1,6488,0.94,1031.09,159.5,1,Normal,298.64,847.07
13/03/2024,Dust1,0.83,1,0.5,0.5,5132,0.908,987.77,158.6,1,Normal,301.8,782.91
14/03/2024,Fanning1,0.88,0.5,1,1,4022,0.977,1032.7,156.5,1,Normal,299.05,914.66
15/03/2024,Dust,0.93,0,1,1,4840,0.98,1041.09,164.9,1,Normal,300.73,880.23
18/03/2024,BOP,0.91,1,1,1,863,1.024,1219.3,151.9,1,Normal,298.9,1193.61
18/03/2024,Dust1,0.82,0.5,0.5,0,2810,0.988,1007.77,149.7,1,Normal,300.88,786.14
19/03/2024,BOP,0.84,0.5,1,0.5,7258,0.909,1169.3,161.5,1,Normal,299.73,911.09
19/03/2024,BOPF,0.87,1,0,1,277,1.043,1264.28,147.5,1,Normal,301.83,1144.43
20/03/2024,BOP,0.9,1,0,1,2278,0.997,1219.3,157.3,1,Normal,298.16,1043.66
20/03/2024,Fanning1,0.86,1,0.5,0,7568,0.914,1072.7,164,1,Normal,299.93,814
21/03/2024,BOP,0.93,1,0.5,0.5,2242,0.995,1239.3,150.9,1,Normal,299.38,1073.88
22/03/2024,BOP,0.87,0.5,1,1,6573,0.921,1239.3,155.3,1,Normal,301.61,1047.52
22/03/2024,BOPF,0.94,0.5,0.5,0.5,6610,0.923,1204.28,159.4,1,Normal,298.86,905.31
25/03/2024,Pekoe,0.93,1,1,1,2807,0.995,1142.66,154.9,1,Normal,298.18,1080.33
25/03/2024,Dust,0.83,0.5,0.5,0.5,419,1.05,1041.09,152.3,1,Normal,301.95,898.25
26/03/2024,Fanning1,0.9,0.5,1,1,3970,0.954,1102.7,147.9,1,Normal,298.56,952.1
26/03/2024,Fanning1,0.94,1,0.5,0,4152,0.974,1072.7,152.9,1,Normal,299.32,859.16
26/03/2024,Pekoe,0.96,0.5,0.5,0.5,7369,0.911,1102.66,151.2,1,Normal,300.33,831.19
27/03/2024,Dust1,0.84,0.5,1,0,3903,0.955,1007.77,157.4,1,Normal,298.82,795.88
28/03/2024,Pekoe,0.94,0.5,0.5,0,1979,0.999,1162.66,154.4,1,Normal,301.65,905.83
28/03/2024,Pekoe,0.93,0,1,0.5,1504,0.984,1142.66,160.4,1,Normal,301.08,932.81
28/03/2024,Dust1,0.88,0,0.5,0.5,4385,0.977,987.77,154.8,1,Normal,301.27,763.8
29/03/2024,Dust,0.97,1,0,0,5827,0.914,1021.09,150.8,1,Normal,300.78,732.54
31/03/2024,BOPF,0.83,0,1,1,3676,0.953,1274.28,156.7,1,Normal,298.55,1064.55
01/04/2024,Pekoe,0.97,0,0.5,1,487,1.075,1102.66,203.2,1,Normal,300.61,983.02
01/04/2024,BOP,0.97,1,0,1,928,1.028,1239.3,217,1,Normal,301.7,1093.13
02/04/2024,BOP,0.97,0.5,0.5,0,5549,0.923,1169.3,211.4,1,Normal,301.24,850.69
02/04/2024,Pekoe,0.85,0.5,0.5,0,3359,0.975,1172.66,213,1,Normal,299.31,885.06
02/04/2024,Dust1,0.87,1,1,1,1546,0.992,997.77,219.6,1,Normal,298.05,944.42
03/04/2024,BOP,0.89,1,0.5,0,2413,0.987,1169.3,201.2,1,Normal,298.88,942.82
03/04/2024,Fanning1,0.88,0.5,0,0,6013,0.944,1032.7,215,1,Normal,300.1,719.18
03/04/2024,BOP,0.83,0.5,0.5,0,3671,0.953,1169.3,218.3,1,Normal,300.87,882.58
03/04/2024,BOP,0.89,0.5,0.5,1,386,1.05,1239.3,208.9,1,Normal,298.01,1115.94
04/04/2024,Pekoe,0.83,0,0,1,516,1.023,1182.66,208.5,1,Normal,300.58,958.97
05/04/2024,Dust1,0.88,0.5,0.5,0,834,1.03,987.77,207.6,1,Normal,300.12,790.26
05/04/2024,BOP,0.98,0.5,0.5,0.5,3470,0.96,1189.3,200.1,1,Normal,298.75,949.04
06/04/2024,Pekoe,0.89,0.5,0,1,223,1.052,1182.66,200.6,1,Normal,300.81,1031.04
07/04/2024,BOPF,0.91,0.5,0.5,1,7996,0.916,1254.28,208,1,Normal,301.09,989.78
08/04/2024,Pekoe,0.9,0.5,1,0,4866,0.967,1102.66,217.5,1,Normal,301.89,884.21
08/04/2024,Dust,0.93,0.5,1,1,1969,0.997,971.09,215.7,1,Normal,301.22,881.6
09/04/2024,Fanning1,0.9,0.5,1,0.5,431,1.057,1122.7,219.4,1,Normal,298.76,1031.37
09/04/2024,BOP,0.85,0.5,0.5,0,1427,0.999,1149.3,212.1,1,Normal,298.85,904.11
09/04/2024,Dust1,0.97,0.5,0.5,0.5,4588,0.964,1007.77,214.9,1,Normal,299.44,800.94
09/04/2024,BOP,0.95,0.5,0.5,0.5,5187,0.943,1229.3,209.9,1,Normal,298.58,965.94
11/04/2024,Dust1,0.87,1,1,0,2127,0.985,1017.77,211.6,1,Normal,299.95,874.81
11/04/2024,Pekoe,0.95,1,0.5,0.5,194,1.056,1192.66,209.2,1,Normal,301.39,1096.57
11/04/2024,Dust1,0.84,0.5,1,1,104,1.061,1007.77,215.3,1,Normal,301.74,975.59
12/04/2024,Fanning1,0.91,1,0.5,0.5,3035,0.974,1052.7,200.3,1,Normal,298.43,879.07
14/04/2024,Fanning1,0.86,0.5,0.5,1,991,1.03,1052.7,203.8,1,Normal,299.2,929.66
14/04/2024,Pekoe,0.94,1,0.5,0,528,1.002,1192.66,219.8,1,Normal,299.74,988.21
15/04/2024,BOP,0.96,0,1,0,1555,0.998,1219.3,217.2,1,Normal,300.63,960.46
15/04/2024,BOPF,0.91,0.5,0.5,0.5,5984,0.942,1244.28,200.3,1,Normal,300.71,963.68
15/04/2024,Pekoe,0.94,0.5,0,1,1475,0.992,1172.66,214.8,1,Normal,301.82,965.88
16/04/2024,Dust,0.95,0.5,1,0,4392,0.953,1021.09,200.6,1,Normal,299.18,791.32
18/04/2024,Dust1,0.93,0.5,0.5,0.5,3010,0.961,967.77,205.4,1,Normal,298.41,764.26
18/04/2024,Fanning1,0.89,1,0.5,1,405,1.045,1092.7,211.1,1,Normal,301.12,1038.44
18/04/2024,BOPF,0.91,1,0.5,1,237,1.038,1224.28,219.9,1,Normal,299.68,1178.68
21/04/2024,BOPF,0.94,0.5,0.5,0.5,1623,0.997,1244.28,205,1,Normal,301.22,1018.57
22/04/2024,Pekoe,0.98,1,0.5,0,1643,0.986,1182.66,216.3,1,Normal,300.53,969.37
22/04/2024,Dust,0.95,0.5,1,0,7792,0.901,1031.09,206.5,1,Normal,299.85,765.31
22/04/2024,Pekoe,0.83,0,0.5,0,2297,0.993,1182.66,205.8,1,Normal,299.69,869.21
23/04/2024,Fanning1,0.88,0.5,0,0,6472,0.93,1032.7,212,1,Normal,298.44,715.11
23/04/2024,Fanning1,0.83,0,0.5,0.5,485,1.031,1072.7,203.3,1,Normal,298.89,867.41
23/04/2024,BOPF,0.89,0.5,0.5,0,3706,0.953,1244.28,213.8,1,Normal,301.68,935.71
24/04/2024,Dust,0.87,0.5,1,0.5,3897,0.96,991.09,214.6,1,Normal,298.18,812.71
24/04/2024,BOP,0.93,1,0,1,6355,0.921,1209.3,206.9,1,Normal,298.93,957.35
24/04/2024,Dust1,0.88,0.5,0,0.5,719,1.006,1017.77,212.8,1,Normal,300.82,804.34
25/04/2024,Fanning1,0.85,0.5,0.5,0.5,2002,0.992,1102.7,216,1,Normal,299.57,897.59
25/04/2024,BOPF,0.95,0.5,1,0,402,1.042,1184.28,209.2,1,Normal,298.73,1018.2
25/04/2024,BOPF,0.91,0.5,0.5,0,5709,0.908,1224.28,208.4,1,Normal,298.56,869.04
25/04/2024,Dust,0.97,0.5,1,0.5,4013,0.962,1041.09,201.1,1,Normal,299.78,868.95
26/04/2024,BOPF,0.87,1,0.5,1,7028,0.926,1254.28,215.9,1,Normal,298.46,1093.99
26/04/2024,BOP,0.94,0.5,1,0.5,2699,0.997,1149.3,207.3,1,Normal,299.8,1000.41
26/04/2024,BOP,0.94,1,0,0,4455,0.955,1169.3,208.8,1,Normal,301.14,882.45
26/04/2024,Fanning1,0.86,0.5,0.5,0,249,1.037,1122.7,211.4,1,Normal,301.14,924.28
27/04/2024,BOPF,0.93,1,1,0.5,4384,0.954,1264.28,217.3,1,Normal,299.07,1126.87
28/04/2024,BOP,0.88,0.5,0.5,0.5,332,1.073,1239.3,212.7,1,Normal,300.93,1096.76
29/04/2024,Dust,0.96,0.5,0.5,0.5,1549,0.991,971.09,213.3,1,Normal,300.26,789.8
01/05/2024,BOP,0.83,0.5,0,1,3323,0.95,1209.3,274.1,1,Normal,298.81,938.92
01/05/2024,BOPF,0.96,0,1,0.5,542,1.002,1264.28,272.5,1,Normal,299.22,1038.27
02/05/2024,Pekoe,0.84,1,1,0,215,1.065,1192.66,272.8,1,Normal,298.48,1105.6
02/05/2024,BOPF,0.88,0.5,1,0.5,951,1.019,1264.28,263.9,1,Normal,298.57,1104.51
03/05/2024,Dust1,0.88,1,0.5,0.5,415,1.075,947.77,272.5,1,Normal,301.01,879.98
03/05/2024,Dust,0.95,1,0.5,1,2228,0.996,1031.09,288.2,1,Normal,298.11,941.67
03/05/2024,Fanning1,0.9,0.5,1,1,3230,0.969,1032.7,250.3,1,Normal,300.11,921.4
03/05/2024,BOPF,0.88,0,0.5,0,449,1.059,1184.28,286.7,1,Normal,299.05,918.27
07/05/2024,Fanning1,0.87,0.5,0.5,0.5,7197,0.931,1072.7,279.5,1,Normal,298.33,832.55
07/05/2024,BOPF,0.91,0.5,0.5,0,3635,0.972,1274.28,288.7,1,Normal,298.95,979.18
09/05/2024,Fanning1,0.92,0.5,0.5,0,189,1.038,1072.7,245.8,1,Normal,300.09,877.93
09/05/2024,BOPF,0.94,0,0.5,1,1060,0.99,1224.28,248.3,1,Normal,300.85,990.1
09/05/2024,Dust,0.83,0,1,1,230,1.041,1021.09,262.8,1,Normal,298.01,910.14
10/05/2024,Dust,0.88,1,0,1,4462,0.957,971.09,242.3,1,Normal,299.67,799.77
11/05/2024,Dust,0.84,0.5,1,1,3821,0.976,1041.09,243.9,1,Normal,301.38,923.61
11/05/2024,BOPF,0.87,0.5,0.5,1,688,1.022,1254.28,240.4,1,Normal,301.04,1098.08
12/05/2024,BOPF,0.91,0.5,0.5,1,2554,0.982,1254.28,260.5,1,Normal,301.93,1078.17
12/05/2024,BOPF,0.93,1,0,0,311,1.059,1254.28,288.6,1,Normal,298.53,1030.58
12/05/2024,Dust1,0.93,1,1,0.5,2703,0.989,947.77,268.4,1,Normal,298.3,857.19
13/05/2024,BOPF,0.84,0.5,0.5,1,4577,0.959,1224.28,269.2,1,Normal,301.41,1023.94
13/05/2024,Pekoe,0.93,1,0,0.5,3508,0.965,1182.66,255.2,1,Normal,299.2,934.39
13/05/2024,Dust1,0.91,0.5,1,1,562,1.006,987.77,287.6,1,Normal,299.49,905.91
13/05/2024,Dust,0.97,1,0,1,2657,0.982,1011.09,269.1,1,Normal,298.2,859.67
14/05/2024,Dust1,0.82,0.5,1,1,195,1.061,997.77,276.2,1,Normal,298.98,958.34
16/05/2024,BOP,0.83,0.5,0.5,0,369,1.079,1239.3,267.5,1,Normal,300.85,1054.25
17/05/2024,Fanning1,0.9,0.5,1,0.5,405,1.07,1092.7,257.2,1,Normal,300.12,1025.93
18/05/2024,BOP,0.86,1,0.5,0,3449,0.961,1239.3,288.7,1,Normal,301.97,974.84
20/05/2024,Pekoe,0.93,0,1,0,5582,0.947,1192.66,255.9,1,Normal,301.95,885.57
20/05/2024,Dust1,0.83,1,0.5,1,744,1.024,967.77,255.5,1,Normal,300.87,909.13
21/05/2024,BOP,0.84,0.5,1,1,1747,0.994,1229.3,256.2,1,Normal,299.58,1103.83
21/05/2024,BOPF,0.94,0.5,0.5,0.5,7301,0.939,1204.28,246.8,1,Normal,300.66,930.73
21/05/2024,Dust,0.84,0.5,0,0,300,1.039,991.09,276.7,1,Normal,301.68,757.83
21/05/2024,Dust1,0.84,0.5,1,0.5,2813,0.989,967.77,268.3,1,Normal,298.84,825.82
22/05/2024,Pekoe,0.82,0.5,0.5,1,6438,0.919,1192.66,279.4,1,Normal,299.92,953.71
22/05/2024,BOPF,0.89,0.5,1,1,2949,0.983,1244.28,274.4,1,Normal,298.64,1153.79
23/05/2024,Dust,0.92,0.5,0.5,1,3337,0.955,951.09,288.9,1,Normal,299.32,785.27
23/05/2024,Pekoe,0.91,0.5,1,1,701,1.002,1102.66,267.7,1,Normal,299.71,1006.26
23/05/2024,BOPF,0.84,1,0.5,1,3631,0.965,1264.28,270,1,Normal,299.06,1138.2
23/05/2024,Dust1,0.88,0.5,1,0.5,234,1.038,1007.77,258.6,1,Normal,300.67,901.27
23/05/2024,Fanning1,0.86,1,0.5,0,6944,0.944,1092.7,267.1,1,Normal,299.2,858.94
27/05/2024,Fanning1,0.96,0,0.5,0,561,1.028,1052.7,241.7,1,Normal,301.89,794.45
27/05/2024,Pekoe,0.89,0,0.5,0,232,1.049,1162.66,261.2,1,Normal,300.21,905.85
28/05/2024,BOP,0.95,0.5,0.5,0.5,7320,0.929,1149.3,285.9,1,Normal,301.7,871.3
28/05/2024,Fanning1,0.96,0,1,0,792,1.008,1052.7,254.3,1,Normal,300.47,829.13
28/05/2024,Dust,0.93,1,0.5,0.5,1691,0.986,1011.09,259.8,1,Normal,301.43,875.13
29/05/2024,Dust,0.98,0.5,0,0.5,713,1.013,1041.09,251.4,1,Normal,299.63,826.3
29/05/2024,BOP,0.9,1,0.5,0,7147,0.901,1169.3,258.7,1,Normal,301.5,858.1
29/05/2024,BOP,0.97,0.5,1,0.5,358,1.042,1209.3,241.7,1,Normal,300.38,1099.86
30/05/2024,Dust,0.88,0,1,0,645,1.026,1041.09,269.3,1,Normal,301.86,840.47
02/06/2024,Dust,0.92,0.5,0,0,742,1.018,951.09,198.9,1,Off,298.9,725.45
03/06/2024,Pekoe,0.92,0.5,0.5,0.5,6237,0.941,1162.66,200.6,1,Off,300.34,909.87
03/06/2024,Dust,0.91,0.5,0.5,0,1130,0.997,991.09,213.3,1,Off,300.62,775.27
04/06/2024,Fanning1,0.94,0,0,0,306,1.063,1072.7,174.4,1,Off,299.04,791.04
04/06/2024,Pekoe,0.98,0,0.5,0,2094,0.99,1192.66,166.8,1,Off,298.68,873.32
05/06/2024,Dust1,0.84,0.5,0,1,960,1.011,1007.77,179.7,1,Off,301.49,845.88
06/06/2024,Fanning1,0.87,0,0.5,0,4271,0.977,1102.7,183.6,1,Off,298.48,795.94
06/06/2024,BOPF,0.84,0.5,0.5,0,573,1.023,1244.28,185.7,1,Off,299.33,989.65
06/06/2024,Dust1,0.86,0,1,1,902,1.018,1007.77,167.9,1,Off,299.72,885.15
06/06/2024,Fanning1,0.85,0.5,1,0.5,487,1.061,1052.7,165.2,1,Off,298.91,960.59
07/06/2024,Fanning1,0.91,1,0,0.5,7442,0.917,1112.7,170.1,1,Off,301.98,847.52
09/06/2024,BOPF,0.85,0,0,1,216,1.059,1204.28,183,1,Off,298.49,1002.36
10/06/2024,Pekoe,0.86,0.5,1,1,438,1.064,1162.66,183.8,1,Off,299.78,1112.92
10/06/2024,BOPF,0.93,0.5,0.5,0,7550,0.935,1244.28,200.1,1,Off,301.32,911.68
10/06/2024,BOP,0.95,0.5,0.5,0.5,3733,0.959,1149.3,170.9,1,Off,300.19,910.7
11/06/2024,BOPF,0.82,0.5,0,0,5368,0.904,1264.28,189,1,Off,298.41,836.24
11/06/2024,Dust,0.86,1,0,1,4386,0.972,951.09,214.4,1,Off,301.4,787.09
13/06/2024,Pekoe,0.85,0.5,0.5,0,2501,0.984,1162.66,171.9,1,Off,299.6,899.74
14/06/2024,Dust1,0.95,0.5,0,1,167,1.051,997.77,199.5,1,Off,299.93,859.91
14/06/2024,Dust,0.92,0,0,0,3999,0.963,951.09,195.6,1,Off,299.05,642.54
14/06/2024,Pekoe,0.91,0.5,0,0,7869,0.905,1182.66,198.9,1,Off,300.91,793.77
14/06/2024,BOPF,0.95,0.5,0,1,3321,0.976,1274.28,197.1,1,Off,298.66,1017.38
14/06/2024,Dust,0.83,0.5,0.5,0.5,3909,0.953,1011.09,181.5,1,Off,299.79,790.42
17/06/2024,BOP,0.88,1,0.5,1,6247,0.928,1229.3,197.7,1,Off,300.69,1030.11
17/06/2024,BOPF,0.96,0.5,0,0,3744,0.953,1274.28,167.7,1,Off,300.64,892.13
18/06/2024,Dust,0.91,0.5,1,1,4468,0.953,1021.09,196.7,1,Off,298.78,888.27
19/06/2024,BOPF,0.93,1,0.5,0,4581,0.97,1254.28,175.8,1,Off,298.54,999.78
19/06/2024,Dust1,0.95,0.5,0.5,1,454,1.049,997.77,167.4,1,Off,300.42,912.52
19/06/2024,Fanning1,0.97,0,0.5,0.5,3273,0.968,1112.7,185.9,1,Off,300.05,841.86
19/06/2024,Pekoe,0.97,0.5,0.5,0,648,1.029,1182.66,180.7,1,Off,301.9,949.77
21/06/2024,Pekoe,0.84,0.5,0.5,0,1854,0.998,1162.66,196.8,1,Off,301.23,893.17
24/06/2024,Pekoe,0.83,0.5,0,0.5,1299,0.984,1172.66,172.3,1,Off,298.13,890.91
25/06/2024,Pekoe,0.91,0.5,0.5,0.5,2606,0.994,1102.66,208.4,1,Off,301.71,911.07
28/06/2024,Dust,0.97,1,0,1,944,1.027,1031.09,213.8,1,Off,300.84,916.19
28/06/2024,BOPF,0.94,0,0.5,1,5711,0.906,1184.28,201.9,1,Off,299.71,872.58
28/06/2024,Dust,0.82,0.5,0,1,5208,0.942,991.09,194.2,1,Off,299.96,763.77
02/07/2024,Dust,0.9,0,0.5,0,181,1.047,990.52,189.2,1,Off,304.65,760.86
03/07/2024,Fanning1,0.9,0,0,0,558,1.027,1123.74,197.5,1,Off,305.67,792.69
04/07/2024,Dust1,0.97,0,0.5,0,1050,0.99,1016.74,194.3,1,Off,303.78,752.09
09/07/2024,Fanning1,0.83,1,0,0,503,1.026,1113.74,159.6,1,Off,305.34,898.65
09/07/2024,Pekoe,0.94,0.5,0,0,1048,0.981,1125.07,193.9,1,Off,302.22,816.67
09/07/2024,BOPF,0.97,0.5,0.5,0.5,321,1.057,1288.29,178.7,1,Off,304.88,1123.49
10/07/2024,BOP,0.88,0.5,0.5,0,3576,0.962,1252.62,152.3,1,Off,302.12,932.14
11/07/2024,Fanning1,0.87,0.5,0.5,0,5045,0.944,1073.74,187.3,1,Off,302.49,791.67
12/07/2024,BOP,0.87,0,0,0.5,711,1.005,1192.62,176.9,1,Off,304.47,875.08
12/07/2024,Fanning1,0.96,0,0,0,336,1.043,1073.74,183.5,1,Off,304.9,775.91
15/07/2024,Pekoe,0.86,0.5,1,1,1922,0.994,1145.07,156.4,1,Off,304.26,1025.31
16/07/2024,BOP,0.87,0,0,0,2720,0.998,1232.62,171.4,1,Off,303.78,857.05
16/07/2024,Pekoe,0.92,0,0,1,375,1.066,1125.07,155.4,1,Off,305.4,943.81
18/07/2024,Fanning1,0.85,1,0.5,0,3304,0.957,1143.74,178.9,1,Off,304.36,891.17
19/07/2024,BOP,0.88,0.5,0.5,0,4052,0.955,1242.62,175.1,1,Off,305.79,937.24
25/07/2024,Dust1,0.97,1,0,1,635,1.016,1036.74,186.8,1,Off,303.45,907.83
26/07/2024,Pekoe,0.87,0,0.5,0.5,634,1.011,1185.07,152.3,1,Off,303.46,943.25
27/07/2024,Dust1,0.98,0.5,0.5,0.5,349,1.055,966.74,175.8,1,Off,303.76,837.95
29/07/2024,BOPF,0.85,0.5,0,1,438,1.054,1268.29,164,1,Off,303.92,1102.32
29/07/2024,BOPF,0.83,0.5,1,0,362,1.038,1228.29,170.5,1,Off,304.07,1059.02
30/07/2024,Pekoe,0.94,0,0,1,810,1.007,1185.07,181.9,1,Off,304.4,938.94
01/08/2024,Pekoe,0.9,1,0.5,0.5,3470,0.954,1125.07,178.6,1,Peak,302.81,935.18
01/08/2024,BOPF,0.92,1,0,0,119,1.035,1288.29,183.4,1,Peak,302.52,1057.38
01/08/2024,Pekoe,0.92,1,1,1,3469,0.961,1215.07,192.9,1,Peak,304.97,1118.73
01/08/2024,BOPF,0.86,0.5,0,1,2795,0.984,1288.29,177,1,Peak,304.97,1049.96
02/08/2024,Dust1,0.92,0.5,1,0.5,1872,0.985,1016.74,185.4,1,Peak,303.69,866.42
02/08/2024,BOPF,0.89,0.5,1,0.5,6256,0.917,1288.29,188.6,1,Peak,303.59,1036.58
05/08/2024,BOPF,0.89,0.5,1,1,7255,0.935,1288.29,177.4,1,Peak,302.21,1134.49
05/08/2024,BOPF,0.9,0.5,1,0.5,4247,0.978,1268.29,191.1,1,Peak,304.46,1084.96
06/08/2024,BOPF,0.92,1,1,0,7455,0.926,1228.29,186.9,1,Peak,304.46,987.05
06/08/2024,BOPF,0.83,1,1,0,302,1.067,1208.29,188.1,1,Peak,305.68,1127.95
06/08/2024,Fanning1,0.88,0,1,0,199,1.043,1113.74,186.2,1,Peak,304.02,914.77
06/08/2024,BOP,0.95,0,0.5,0,6544,0.924,1192.62,181.8,1,Peak,305.03,821.9
